symbol,timestamp,funding_rate,funding_interval_hours
BTCUSDT,2020-01-01T00:00:00Z,-0.00012359,8
ETHUSDT,2020-01-01T00:00:00Z,0.0001,8
BTCUSDT,2020-01-01T08:00:00Z,-0.00012383,8
ETHUSDT,2020-01-01T08:00:00Z,7.354e-05,8
BTCUSDT,2020-01-01T16:00:00Z,-9.664e-05,8
ETHUSDT,2020-01-01T16:00:00Z,-0.00016125,8
BTCUSDT,2020-01-02T00:00:00Z,3.662e-05,8
ETHUSDT,2020-01-02T00:00:00Z,5.047e-05,8
BTCUSDT,2020-01-02T08:00:00Z,0.0001,8
ETHUSDT,2020-01-02T08:00:00Z,0.0001,8
BTCUSDT,2020-01-02T16:00:00Z,1.04e-06,8
ETHUSDT,2020-01-02T16:00:00Z,0.0001,8
BTCUSDT,2020-01-03T00:00:00Z,-1.664e-05,8
ETHUSDT,2020-01-03T00:00:00Z,0.0001,8
BTCUSDT,2020-01-03T08:00:00Z,-1.553e-05,8
ETHUSDT,2020-01-03T08:00:00Z,0.0001,8
BTCUSDT,2020-01-03T16:00:00Z,0.0001,8
ETHUSDT,2020-01-03T16:00:00Z,0.0001,8
BTCUSDT,2020-01-04T00:00:00Z,0.0001,8
ETHUSDT,2020-01-04T00:00:00Z,0.0001,8
BTCUSDT,2020-01-04T08:00:00Z,8.4e-07,8
ETHUSDT,2020-01-04T08:00:00Z,0.0001,8
BTCUSDT,2020-01-04T16:00:00Z,7.387e-05,8
ETHUSDT,2020-01-04T16:00:00Z,0.0001,8
BTCUSDT,2020-01-05T00:00:00Z,0.0001,8
ETHUSDT,2020-01-05T00:00:00Z,0.0001,8
BTCUSDT,2020-01-05T08:00:00Z,0.0001,8
ETHUSDT,2020-01-05T08:00:00Z,0.0001,8
BTCUSDT,2020-01-05T16:00:00Z,0.0001,8
ETHUSDT,2020-01-05T16:00:00Z,0.0001,8
BTCUSDT,2020-01-06T00:00:00Z,0.0001,8
ETHUSDT,2020-01-06T00:00:00Z,0.0001,8
BTCUSDT,2020-01-06T08:00:00Z,0.0001,8
