symbol,timestamp,long_short_ratio,taker_sell_vol,taker_buy_vol,open_interest,volume
BTC,2026-03-05T16:00:00Z,1.01,5208505380.2935,5074156772.221,3166911068.7314,10310109533.5391
ETH,2026-03-05T16:00:00Z,1.48,5975576527.5093,6087298533.3912,1802123251.1205,12101990055.7922
SOL,2026-03-05T16:00:00Z,1.7,632703217.8777,622016338.3282,266253699.228,1256917174.2783
BTC,2026-03-06T16:00:00Z,1.61,4542771689.9187,4396894930.1316,2963759166.7944,8989227921.7017
ETH,2026-03-06T16:00:00Z,2.37,5115429212.6627,4822846197.0441,1656738719.3098,10000887294.1308
SOL,2026-03-06T16:00:00Z,2.52,499903378.233,464721267.8092,256208317.18,968392093.3971
BTC,2026-03-07T16:00:00Z,1.95,2065799180.338,2073723812.2013,2931693231.6857,4156171439.9243
ETH,2026-03-07T16:00:00Z,2.32,2185731395.2624,2211392233.4413,1700839154.5617,4410137054.0549
SOL,2026-03-07T16:00:00Z,2.86,239758582.9726,235048160.7238,252288639.7932,475228030.4114
BTC,2026-03-08T16:00:00Z,1.86,2202268794.7005,2175449049.3479,2886160376.6323,4405158951.8058
ETH,2026-03-08T16:00:00Z,2.7,2827720245.9162,2587198174.2323,1677885809.7842,5458897700.2605
SOL,2026-03-08T16:00:00Z,2.74,287510376.0123,275724717.5478,243981244.723,567337432.6009
BTC,2026-03-09T16:00:00Z,1.46,4243449217.5495,4464384563.9237,2922497243.4184,8745690931.5243
ETH,2026-03-09T16:00:00Z,1.67,5211179279.5414,5547055418.9222,1731358069.0382,10782625165.2859
SOL,2026-03-09T16:00:00Z,2.55,463106369.2819,471583973.3435,249472688.7516,936964063.7484
BTC,2026-03-10T16:00:00Z,1.05,4880033174.7434,5019496073.6916,3045438349.0318,9914896339.4374
ETH,2026-03-10T16:00:00Z,1.46,5132055192.2673,5331404908.1623,1792596330.4555,10485848090.8563
SOL,2026-03-10T16:00:00Z,1.96,501002332.7093,512067322.998,263915557.4701,1013821758.753
BTC,2026-03-11T16:00:00Z,1.11,4340012720.4465,4303425856.3833,2975190203.1041,8660013988.9219
ETH,2026-03-11T16:00:00Z,1.65,4664701097.595,4689029515.1216,1870522605.1946,9376087826.6918
SOL,2026-03-11T16:00:00Z,2.16,492422284.7527,473908601.6093,249679579.51,967294535.5791
BTC,2026-03-12T16:00:00Z,1.12,3966641012.7504,4074916277.8616,2941439632.9143,8051433535.0248
ETH,2026-03-12T16:00:00Z,1.36,4671951293.5166,4882972536.0309,1867907978.1278,9568527840.6376
SOL,2026-03-12T16:00:00Z,1.99,503993672.956,522718360.4544,250025753.6023,1027111776.1913
BTC,2026-03-13T16:00:00Z,0.87,4905629186.2202,5382794069.963,3092260035.534,10303163438.1376
ETH,2026-03-13T16:00:00Z,1.09,6595420436.3957,7236972570.7205,1949490697.1234,13851561679.7943
SOL,2026-03-13T16:00:00Z,1.44,615951534.0406,657435165.8385,281347428.3516,1273919157.8276
BTC,2026-03-14T16:00:00Z,1.22,2875193306.8758,2826027142.6487,2886957160.6886,5719414461.8211
ETH,2026-03-14T16:00:00Z,1.74,3262915059.8335,3087590049.8308,1910411990.0064,6379042709.1523
SOL,2026-03-14T16:00:00Z,2.07,320714539.2336,312939781.8924,258434268.654,634529493.4803
BTC,2026-03-15T16:00:00Z,1.08,1508140912.8393,1616152500.1462,2923299271.1197,3125377274.5803
ETH,2026-03-15T16:00:00Z,1.55,2039334872.2285,2175836294.6828,1903014108.2291,4220102649.1876
SOL,2026-03-15T16:00:00Z,2.04,209923383.218,206502882.1418,260876377.29,416504326.1354
BTC,2026-03-16T16:00:00Z,0.88,4273840518.5951,4776834999.6469,3028216632.6815,9064036619.8805
ETH,2026-03-16T16:00:00Z,0.68,7972598585.1661,9071750179.3946,2220231408.7623,17063816387.9637
SOL,2026-03-16T16:00:00Z,1.3,650287755.6528,722326106.0417,293842521.2497,1373180632.5248
BTC,2026-03-17T16:00:00Z,1.0,4560069483.2578,4720106497.0993,3073605744.5407,9297090803.9352
ETH,2026-03-17T16:00:00Z,0.97,8101909439.6123,8338657056.6036,2176073821.5772,16483304928.6766
SOL,2026-03-17T16:00:00Z,1.58,498352310.7461,518068882.377,288768879.7253,1017065441.2049
BTC,2026-03-18T16:00:00Z,1.22,3976761074.8198,3632063259.4506,3141185186.5831,7654276601.9944
ETH,2026-03-18T16:00:00Z,1.38,6567073471.3084,6053227198.2006,2046722149.6677,12731196704.4452
SOL,2026-03-18T16:00:00Z,1.77,487940009.0117,445336647.0351,262346974.2957,938181576.2156
BTC,2026-03-19T16:00:00Z,1.57,4368532591.9553,4105531855.4566,3018745054.1127,8528502476.2774
ETH,2026-03-19T16:00:00Z,1.73,7066730765.6283,7042364122.979,1972510855.4775,14179840326.2191
SOL,2026-03-19T16:00:00Z,1.88,456448714.1179,435573628.3385,255579587.748,893326604.6221
BTC,2026-03-20T16:00:00Z,1.45,3725686332.0492,3788220510.2096,3020197352.5876,7538577471.5216
ETH,2026-03-20T16:00:00Z,1.8,4590657476.685,4729316894.9181,1922152488.4319,9342357024.1795
SOL,2026-03-20T16:00:00Z,1.93,338421553.7422,342185200.2124,261471877.0745,680755540.7993
BTC,2026-03-21T16:00:00Z,1.33,1771357028.4083,1889630678.3276,2972392637.9186,3664418413.8594
ETH,2026-03-21T16:00:00Z,1.58,1981430607.7676,1960802468.2466,1942675136.1047,3944633028.0891
SOL,2026-03-21T16:00:00Z,1.96,207388144.6528,207492996.1723,259935679.1891,415013801.0467
BTC,2026-03-22T16:00:00Z,1.6,2918537530.2913,2588359754.9014,2944158650.4414,5580778935.8658
ETH,2026-03-22T16:00:00Z,1.93,3904304265.1829,3565194621.0497,1878317144.1485,7567384657.579
SOL,2026-03-22T16:00:00Z,2.18,307610158.5591,301478029.5113,264906010.6168,611925881.3865
BTC,2026-03-23T16:00:00Z,1.18,5795943883.6284,5985080293.1676,2891366635.8593,11832863600.0941
ETH,2026-03-23T16:00:00Z,1.38,7205656180.0354,7613299096.5702,1821669990.9235,14899934845.5259
SOL,2026-03-23T16:00:00Z,1.73,626091223.7629,644950132.6887,259428177.3945,1274758214.1716
BTC,2026-03-24T16:00:00Z,1.52,3534563846.1551,3533989201.5431,2904589149.9258,7076655028.5988
ETH,2026-03-24T16:00:00Z,1.82,4386307319.3599,4489107007.146,1853071781.5988,8888063635.2162
SOL,2026-03-24T16:00:00Z,1.9,439957734.7135,459354229.9107,261155755.085,900275833.0836
BTC,2026-03-25T16:00:00Z,1.19,4030521604.0319,4194732175.2607,2917649679.4369,8249611521.2751
ETH,2026-03-25T16:00:00Z,1.37,4556915813.721,4647920478.6179,1897736738.0625,9224325703.03
SOL,2026-03-25T16:00:00Z,1.52,427379670.3981,459397316.0167,275030213.9683,887066737.5542
BTC,2026-03-26T16:00:00Z,1.84,3526266934.2527,3382473155.7363,3010147976.4304,6960374991.3084
ETH,2026-03-26T16:00:00Z,2.56,4268496976.7882,4057374178.5638,1903826506.2521,8423166399.2213
SOL,2026-03-26T16:00:00Z,2.69,416439113.0714,362853793.3471,264636516.9266,781596835.0111
BTC,2026-03-27T16:00:00Z,2.39,4570668278.2555,4094574383.6735,2945138323.1875,8807784581.9868
ETH,2026-03-27T16:00:00Z,2.65,4932021914.2027,4664632399.0783,1806285999.52,9736659606.0716
SOL,2026-03-27T16:00:00Z,2.95,529236938.5184,462803295.6834,272969016.1128,1002371832.9915
BTC,2026-03-28T16:00:00Z,2.43,2015050988.1001,2141698062.2376,2942177560.526,4162488409.5339
ETH,2026-03-28T16:00:00Z,2.65,2157340908.5386,2415258080.1279,1851904305.599,4574905824.8351
SOL,2026-03-28T16:00:00Z,3.23,280826713.2569,294256795.5491,281636143.0992,576240228.3058
BTC,2026-03-29T16:00:00Z,2.2,1583974435.2913,1519834258.3893,2940007707.6769,3123206465.5429
ETH,2026-03-29T16:00:00Z,2.64,1899994018.3405,1748680080.691,1829092331.7017,3669204666.7299
SOL,2026-03-29T16:00:00Z,3.11,234536115.6713,207874491.6721,276890248.3569,444125991.4955
BTC,2026-03-30T16:00:00Z,1.63,3812704353.3391,3871794705.55,2867232994.136,7741566050.2492
ETH,2026-03-30T16:00:00Z,1.52,4643096027.0595,4945050964.6517,1820089244.703,9653079839.134
SOL,2026-03-30T16:00:00Z,2.69,451890817.6771,484338513.788,260614723.0382,946999357.7495
BTC,2026-03-31T16:00:00Z,1.89,4389289062.5484,4357827817.4279,2778310474.6482,8767444325.768
ETH,2026-03-31T16:00:00Z,1.73,5086802585.2376,5302305806.4652,1700534171.0391,10420723153.1412
SOL,2026-03-31T16:00:00Z,3.36,510224545.9499,469444029.3246,259858645.4518,981707477.088
BTC,2026-04-01T16:00:00Z,1.52,3689553875.3232,3828842138.1566,2916292450.4845,7526255410.265
ETH,2026-04-01T16:00:00Z,1.34,5067558006.0608,5381765044.6623,1813399187.7264,10463503971.0339
SOL,2026-04-01T16:00:00Z,2.85,385549523.9242,413020054.8039,252594220.5768,798799233.8404
BTC,2026-04-02T16:00:00Z,2.14,3930851538.4127,3735516312.0415,2817667624.2752,7711452196.1436
ETH,2026-04-02T16:00:00Z,2.11,5457041415.9595,5364195077.5176,1743808047.6699,10883513438.1207
SOL,2026-04-02T16:00:00Z,3.67,758597153.8484,709231775.2125,275806148.5644,1477228488.1579
BTC,2026-04-03T16:00:00Z,1.78,2093862316.6046,2104566123.8545,2794940010.864,4212076667.1365
ETH,2026-04-03T16:00:00Z,1.96,2473565998.2331,2589636292.9481,1708987852.4715,5070487104.8862
SOL,2026-04-03T16:00:00Z,3.01,332430754.7877,345692730.4198,269248400.3252,678378774.5702
BTC,2026-04-04T16:00:00Z,1.69,895865261.8088,992184502.0552,2818315674.8438,1888087754.2388
ETH,2026-04-04T16:00:00Z,2.03,952412857.4604,973376623.7953,1694577933.8387,1926232104.6502
SOL,2026-04-04T16:00:00Z,3.0,173833242.2573,186954337.4808,260868478.2762,360806011.252
BTC,2026-04-05T16:00:00Z,1.71,1469409401.1413,1537185047.5635,2768806131.7626,3016083409.8478
ETH,2026-04-05T16:00:00Z,2.1,2053382255.5911,2083608519.5891,1676792097.2276,4157598537.1213
SOL,2026-04-05T16:00:00Z,3.13,263816567.8856,240777859.1516,261623728.8,506530883.8781
BTC,2026-04-06T16:00:00Z,1.16,3390311136.3235,3739476927.1086,2941303690.5319,7132473616.1506
ETH,2026-04-06T16:00:00Z,0.98,4246755903.89,4691820084.4692,1903339506.968,8941374686.1156
SOL,2026-04-06T16:00:00Z,2.48,385164989.8073,401104338.2339,254984189.8808,786330068.8971
BTC,2026-04-07T16:00:00Z,1.48,3383732930.2174,3319648572.9408,2837796247.2699,6722211905.3766
ETH,2026-04-07T16:00:00Z,2.01,4745930049.7588,4600229248.7898,1606300617.826,9382473922.6503
SOL,2026-04-07T16:00:00Z,3.38,396382106.1282,358157122.633,253473451.891,755973842.1603
BTC,2026-04-08T16:00:00Z,1.07,5230385187.5674,5739952493.4455,3158570935.9124,10981497353.7359
ETH,2026-04-08T16:00:00Z,1.01,6683407522.2141,7270014511.4061,1850866281.3508,13980423859.7993
SOL,2026-04-08T16:00:00Z,2.2,583307396.1245,616945070.5718,243162161.0762,1200974981.8141
BTC,2026-04-09T16:00:00Z,1.06,3038416497.3585,3256540578.3705,3206743026.1166,6301634313.2064
ETH,2026-04-09T16:00:00Z,1.39,4253611812.0296,4356789298.8954,1802159505.5229,8629766743.8472
SOL,2026-04-09T16:00:00Z,2.57,299851824.1661,305805394.5573,239149758.16,606504202.2869
BTC,2026-04-10T16:00:00Z,0.84,3994110684.5809,4015041923.875,3170451508.4016,8014479785.9327
ETH,2026-04-10T16:00:00Z,0.98,4910550143.7034,5072267953.8848,1858831666.223,10000107798.2188
SOL,2026-04-10T16:00:00Z,2.04,426225077.6843,441553710.3334,246225366.77,868037650.5269
BTC,2026-04-11T16:00:00Z,0.87,1667997095.9875,1665300017.74,3222462846.258,3334204170.2384
ETH,2026-04-11T16:00:00Z,0.91,2023610204.0574,2053328863.728,1928909239.4716,4077707794.004
