n,exp_net,n_above200,exp_above200,n_below200,exp_below200,n_vol_lo,exp_vol_lo,n_vol_mid,exp_vol_mid,n_vol_hi,exp_vol_hi,vol_terciles_ok,share_target,mfe_target,mae_target,share_stop,mfe_stop,mae_stop,share_ambiguous_stop,mfe_ambiguous_stop,mae_ambiguous_stop,share_timeout,mfe_timeout,mae_timeout,always_long_exp,excess_over_drift,jaccard_vs_inc_buy,total_R,best_fold_R,best_fold_share,n_folds_with_trades,row,ticker
216,0.08947685185185188,130,0.06977692307692308,86,0.11925581395348842,71,0.2183661971830986,70,0.08385714285714285,70,0.003000000000000041,True,0.37037037037037035,2.514875,0.38776448041809797,0.6157407407407407,0.5506015037593984,1.410216444573025,0.0,,,0.013888888888888888,0.23,0.02493562228329162,0.016127337038908555,0.07334951481294333,0.014598540145985401,19.326999999999998,17.98,0.9303047550059503,4,donchian10+none,BTC
246,0.0881829268292683,157,0.035484076433121035,89,0.18114606741573033,81,0.10097530864197533,81,0.2322098765432098,81,-0.0265555555555555,True,0.37398373983739835,2.448847826086957,0.3255886131690399,0.6219512195121951,0.5769150326797385,1.41992838123262,0.0,,,0.0040650406504065045,0.27,0.03857182920544554,0.016127337038908555,0.07205558979035975,0.025404157043879907,21.693000000000005,13.871000000000002,0.6394228552989443,4,obv_break20+none,BTC
167,0.1333353293413174,83,0.0183855421686747,84,0.2469166666666667,55,0.25,55,0.1846363636363636,55,-0.10039999999999992,True,0.38922155688622756,2.4713846153846157,0.3711535918773094,0.6047904191616766,0.5213267326732673,1.4225015132494803,0.0,,,0.005988023952095809,0.252,0.0,0.016127337038908555,0.11720799230240883,0.07446808510638298,22.267000000000003,19.204,0.8624421790092962,4,roc10_zero+none,BTC
18,1.8021111111111108,7,2.0912857142857146,11,1.6180909090909097,6,1.9936666666666667,6,2.6163333333333334,6,0.7963333333333332,True,0.7777777777777778,3.1135071428571437,0.3472076300292413,0.2222222222222222,0.1046405,1.875673193144656,0.0,,,0.0,,,-0.016569892473118235,1.818681003584229,0.09782608695652174,32.438,13.073,0.40301498242801653,3,INC_STRONG_BUY,BTC
226,0.10112389380530978,125,0.14771200000000004,101,0.04346534653465348,75,0.3242533333333334,74,0.028229729729729758,74,-0.005999999999999969,True,0.37610619469026546,2.4831999999999996,0.4148047587593314,0.6238938053097345,0.5675602836879433,1.7418286463860544,0.0,,,0.0,,,0.03073976755937346,0.07038412624593632,0.007352941176470588,22.85400000000001,18.245,0.7983285201715233,4,donchian10+none,ETH
228,0.1318201754385965,138,0.04097826086956522,90,0.2711111111111112,76,-0.010986842105263137,75,0.1314533333333334,76,0.2903289473684211,True,0.38596491228070173,2.4161363636363635,0.3966818375834729,0.6096491228070176,0.5775971223021583,1.4746057018697118,0.0,,,0.0043859649122807015,1.6280000000000001,0.931917401664943,0.03073976755937346,0.10108040787922304,0.029339853300733496,30.055000000000003,17.76,0.5909166528031942,4,obv_break20+none,ETH
138,0.055101449275362355,66,-0.1238181818181818,72,0.21911111111111115,46,-0.0004130434782608482,45,-0.09471111111111112,46,0.2156521739130435,True,0.36231884057971014,2.52272,0.4077347875369485,0.6376811594202898,0.6110681818181818,1.4121080985079508,0.0,,,0.0,,,0.03073976755937346,0.024361681715988896,0.07242339832869081,7.6040000000000045,9.999,1.3149658074697521,4,roc10_zero+none,ETH
8,0.7875000000000001,2,0.769,6,0.7936666666666667,3,1.388,2,2.6165000000000003,3,-1.0323333333333333,True,0.5,3.2211944999999997,0.4277373799103302,0.5,1.1003915,1.7206996320207248,0.0,,,0.0,,,0.006949399114484545,0.7805506008855155,0.05860805860805861,6.300000000000001,5.799,0.9204761904761904,3,INC_STRONG_BUY,ETH
203,-0.008945812807881733,128,-0.025164062499999952,75,0.018733333333333383,68,-0.09701470588235293,67,-0.0790149253731343,68,0.14816176470588238,True,0.33004926108374383,2.50089552238806,0.388696139632503,0.6551724137931034,0.6520150375939849,1.3497738600835216,0.0,,,0.014778325123152709,1.0999999999999999,0.8497433851071018,0.02371551288529564,-0.032661325693177375,0.00966183574879227,-1.8159999999999918,10.144000000000002,,4,donchian10+none,SOL
304,0.17994407894736844,179,0.060893854748603385,125,0.35042400000000007,102,0.03552941176470594,101,0.2297722772277228,101,0.275960396039604,True,0.3980263157894737,2.4117190082644626,0.41929001297406604,0.5986842105263158,0.6447582417582417,1.334354797151241,0.0,,,0.003289473684210526,1.256,0.9151372692965625,0.02371551288529564,0.1562285660620728,0.02832244008714597,54.70300000000001,22.866000000000003,0.4180026689578268,4,obv_break20+none,SOL
147,0.06457142857142857,58,0.22163793103448276,89,-0.03778651685393255,49,-0.16930612244897955,49,0.20493877551020412,49,0.15808163265306124,True,0.35374149659863946,2.4427307692307694,0.3483132872260787,0.6326530612244898,0.6401935483870967,1.3954479769593773,0.0,,,0.013605442176870748,1.678,0.8391785552078332,0.02371551288529564,0.040855915686132935,0.05121293800539083,9.492000000000004,13.152000000000001,1.3855878634639691,4,roc10_zero+none,SOL
1,2.644,0,,1,2.644,0,,0,,0,,False,1.0,4.044321999999999,0.0,0.0,,,0.0,,,0.0,,,-0.031153700189753282,2.6751537001897536,0.021660649819494584,2.644,2.644,1.0,1,INC_STRONG_BUY,SOL
