ticker,daily_rows,first,last,event_days,n,episodes,win_pct,net_all,ex_best,ex_best_defined,folds_counted,folds_pos,total_R
1INCH,1516,2022-01-02,2026-02-25,9,5,2,60.0,1.1596,,False,0,0,5.798
AAVE,1664,2021-08-07,2026-02-25,8,1,1,100.0,2.644,,False,0,0,2.644
ACH,1293,2022-08-13,2026-02-25,7,5,2,60.0,1.057,,False,0,0,5.285
ADA,2323,2019-10-18,2026-02-25,15,7,5,28.57142857142857,0.011714285714285757,,False,0,0,0.0820000000000003
ALGO,1488,2022-01-30,2026-02-25,10,6,3,16.666666666666664,-0.4226666666666667,,False,0,0,-2.536
APE,1114,2022-04-10,2026-02-25,12,7,4,42.857142857142854,0.5514285714285714,,False,0,0,3.8599999999999994
API3,1384,2022-05-14,2026-02-25,23,13,6,53.84615384615385,0.714153846153846,,False,0,0,9.283999999999999
ATOM,2286,2019-11-24,2026-02-25,14,6,3,83.33333333333334,2.029333333333333,,False,0,0,12.176
AUDIO,1427,2022-04-01,2026-02-25,10,3,3,66.66666666666666,1.4053333333333333,,False,0,0,4.216
AVAX,1538,2021-12-11,2026-02-25,8,2,2,50.0,0.7935,,False,0,0,1.587
AXS,1545,2021-12-04,2026-02-25,19,7,5,42.857142857142854,0.5375714285714286,,False,0,0,3.763
BAND,1985,2020-09-20,2026-02-25,17,5,3,20.0,-0.29799999999999993,,False,0,0,-1.4899999999999998
BAT,2323,2019-10-18,2026-02-25,15,7,3,57.14285714285714,1.0514285714285714,,False,0,0,7.359999999999999
BCH,2325,2019-10-16,2026-02-25,13,4,3,0.0,-1.0537500000000002,,False,0,0,-4.215000000000001
BICO,1391,2022-05-07,2026-02-25,43,32,8,65.625,-3.2503125,,False,1,0,-104.01
BNB,2325,2019-10-16,2026-02-25,21,9,5,66.66666666666666,1.3847777777777779,,False,0,0,12.463
BNT,1379,2022-05-19,2026-02-25,24,13,7,53.84615384615385,0.7478461538461538,,False,0,0,9.722000000000001
BTC,2325,2019-10-16,2026-02-25,30,19,8,73.68421052631578,1.6526842105263155,,False,1,1,31.400999999999996
CELO,1315,2022-07-22,2026-02-25,7,2,2,0.0,-1.0365,,False,0,0,-2.073
CELR,1348,2022-06-19,2026-02-25,21,9,5,11.11111111111111,-0.7135555555555556,,False,0,0,-6.421999999999999
CHZ,1435,2022-03-24,2026-02-25,12,5,4,20.0,-0.5048,,False,0,0,-2.524
COTI,1399,2022-04-29,2026-02-25,23,11,6,18.181818181818183,-0.3660909090909091,,False,0,0,-4.027
CRV,1594,2021-10-16,2026-02-25,6,1,1,100.0,2.581,,False,0,0,2.581
CTSI,1531,2021-12-18,2026-02-25,12,6,4,83.33333333333334,1.9293333333333333,,False,0,0,11.576
DOGE,2293,2019-11-17,2026-02-25,17,10,4,50.0,0.8013999999999999,,False,0,0,8.014
DOT,1524,2021-12-25,2026-02-25,7,3,2,33.33333333333333,0.15799999999999992,,False,0,0,0.47399999999999975
EGLD,1943,2020-11-01,2026-02-25,14,5,4,40.0,0.41159999999999997,,False,0,0,2.058
ENJ,1475,2022-02-12,2026-02-25,3,0,0,,,,False,0,0,
ENS,1426,2022-04-02,2026-02-25,8,4,2,25.0,-0.15025000000000005,,False,0,0,-0.6010000000000002
ETC,2323,2019-10-18,2026-02-25,9,3,1,100.0,2.6333333333333333,,False,0,0,7.9
ETH,2325,2019-10-16,2026-02-25,21,9,6,44.44444444444444,0.5874444444444445,,False,0,0,5.287000000000001
FET,1334,2022-07-03,2026-02-25,8,2,2,0.0,-1.0165,,False,0,0,-2.033
FIL,1691,2021-07-11,2026-02-25,13,6,4,16.666666666666664,-0.4411666666666667,,False,0,0,-2.6470000000000002
FLOW,1370,2022-05-28,2026-02-25,22,12,5,66.66666666666666,-2.8489166666666663,,False,0,0,-34.187
FLUX,1406,2022-04-22,2026-02-25,19,12,5,16.666666666666664,-0.7214166666666667,,False,1,0,-8.657
GALA,1413,2022-03-27,2026-02-25,13,5,3,40.0,0.4412,,False,0,0,2.206
ICP,1323,2022-07-14,2026-02-25,18,5,3,40.0,0.43579999999999997,,False,0,0,2.179
ILV,1273,2022-09-02,2026-02-25,36,23,9,21.73913043478261,-0.45504347826086955,,False,1,0,-10.466000000000001
KNC,1616,2021-09-24,2026-02-25,14,9,5,55.55555555555556,0.9194444444444443,,False,0,0,8.274999999999999
KSM,1294,2022-08-12,2026-02-25,19,10,4,10.0,-0.6909,,False,0,0,-6.909
LDO,1272,2022-09-03,2026-02-25,7,2,1,0.0,-1.2745000000000002,,False,0,0,-2.5490000000000004
LINK,1481,2022-02-06,2026-02-25,14,8,5,12.5,-0.581625,,False,0,0,-4.653
LPT,1454,2022-03-05,2026-02-25,3,1,1,100.0,2.648,,False,0,0,2.648
LSK,1259,2022-09-16,2026-02-25,25,15,7,33.33333333333333,-4.311733333333334,,False,0,0,-64.676
LTC,2325,2019-10-16,2026-02-25,12,4,3,75.0,1.7229999999999999,,False,0,0,6.8919999999999995
MANA,1489,2022-01-29,2026-02-25,10,5,1,20.0,-0.29819999999999997,,False,0,0,-1.4909999999999999
NEAR,1475,2022-02-12,2026-02-25,7,3,2,33.33333333333333,0.19666666666666663,,False,0,0,0.5899999999999999
NEO,2286,2019-11-24,2026-02-25,16,7,2,57.14285714285714,1.047,,False,0,0,7.329
NMR,1448,2022-03-11,2026-02-25,7,1,1,100.0,0.575,,False,0,0,0.575
OCEAN,1363,2022-06-04,2026-02-25,26,17,4,41.17647058823529,-1.3191176470588237,,False,1,0,-22.425
OGN,1433,2022-03-26,2026-02-25,51,32,11,65.625,-6.31809375,,False,2,0,-202.17900000000003
ONE,712,2020-09-19,2024-07-04,1,0,0,,,,False,0,0,
ONT,2181,2020-03-08,2026-02-25,14,5,3,40.0,0.44200000000000017,,False,0,0,2.210000000000001
OP,1321,2022-07-16,2026-02-25,8,3,2,0.0,-1.0286666666666664,,False,0,0,-3.0859999999999994
QTUM,2272,2019-12-08,2026-02-25,14,6,4,50.0,0.6896666666666667,,False,0,0,4.138
RAD,1280,2022-08-26,2026-02-25,27,19,2,84.21052631578947,-9.322526315789474,,False,1,0,-177.128
REQ,1412,2022-04-16,2026-02-25,23,14,3,50.0,-3.4307142857142856,,False,0,0,-48.03
RLC,1393,2022-05-05,2026-02-25,23,12,6,33.33333333333333,-2.11275,,False,1,0,-25.353
ROSE,1308,2022-07-29,2026-02-25,10,4,3,50.0,0.79775,,False,0,0,3.191
SKL,1343,2022-06-24,2026-02-25,21,10,7,20.0,-0.44909999999999994,,False,0,0,-4.491
SLP,1447,2022-03-12,2026-02-25,12,6,4,33.33333333333333,0.1653333333333333,,False,0,0,0.9919999999999998
SNX,1427,2022-04-01,2026-02-25,5,1,1,100.0,2.63,,False,0,0,2.63
