t,n,flat,med_stop_pct,med_cost_r,max_cost_r,net
1INCH,5,0.27570183930300096,2.286,0.035,0.0603,1.1596
AAVE,1,0.07588051716451182,3.633,0.022,0.022,2.644
ACH,5,0.3735676938480365,0.71,0.1127,0.2617,1.057
ADA,7,0.0001978369823265629,2.517,0.0318,0.0547,0.011714285714285757
ALGO,6,0.018795512694351507,2.388,0.0337,0.0404,-0.4226666666666667
APE,7,0.11619790597413263,4.303,0.0186,0.0322,0.5514285714285714
API3,13,0.5319773537429231,0.373,0.2147,0.6882,0.714153846153846
ATOM,6,0.021746403479424557,3.541,0.024399999999999998,0.0377,2.029333333333333
AUDIO,3,0.336464821811498,2.45,0.0327,0.0509,1.4053333333333333
AVAX,2,0.0027727316187015965,2.3905000000000003,0.039650000000000005,0.0553,0.7935
AXS,7,0.3105418531568422,2.793,0.0286,0.0672,0.5375714285714286
BAND,5,0.31118721461187215,2.53,0.0316,0.0444,-0.29799999999999993
BAT,7,0.16308361909786337,1.997,0.0401,0.0748,1.0514285714285714
BCH,4,0.02306121104302563,1.8285,0.04385,0.0858,-1.0537500000000002
BICO,32,0.7093035397306046,0.0495,1.61335,36.8772,-3.2503125
BNB,9,0.0005930025696778019,1.894,0.0422,0.1011,1.3847777777777779
BNT,13,0.7913729615991584,0.752,0.1064,0.8025,0.7478461538461538
BTC,19,0.0004612242208605126,1.776,0.045,0.0727,1.6526842105263155
CELO,2,0.5542155465409495,2.668,0.0366,0.0522,-1.0365
CELR,9,0.587187466466359,0.692,0.1156,0.2571,-0.7135555555555556
CHZ,5,0.42516004471090335,0.858,0.0932,0.8604,-0.5048
COTI,11,0.5303896103896104,2.491,0.0321,0.0596,-0.3660909090909091
CRV,1,0.18471514590088003,0.938,0.0853,0.0853,2.581
CTSI,6,0.5188633963713161,0.9395,0.08549999999999999,0.2737,1.9293333333333333
DOGE,10,0.014545939814505904,2.5774999999999997,0.031,0.0435,0.8013999999999999
DOT,3,0.015325301204819277,1.145,0.0699,0.08,0.15799999999999992
EGLD,5,0.276853136076437,1.509,0.053,0.0914,0.41159999999999997
ENJ,0,0.3112852042840143,,,,
ENS,4,0.31092951991828394,1.51,0.06765,0.1037,-0.15025000000000005
ETC,3,0.10089686098654709,2.504,0.032,0.0346,2.6333333333333333
ETH,9,0.0004612242208605126,2.003,0.0399,0.0703,0.5874444444444445
FET,2,0.0460205739036275,4.8705,0.016399999999999998,0.0167,-1.0165
FIL,6,0.16191983122362869,2.0695,0.0387,0.1008,-0.4411666666666667
FLOW,12,0.5731668606496667,0.0485,1.714,18.4459,-2.8489166666666663
FLUX,12,0.2856256463288521,2.4335,0.032850000000000004,1.1653,-0.7214166666666667
GALA,5,0.1472623651536739,3.279,0.0244,0.0322,0.4412
ICP,5,0.1379648816664849,2.186,0.0366,0.0402,0.43579999999999997
ILV,23,0.6363738865712031,1.55,0.0516,1.6018,-0.45504347826086955
KNC,9,0.3746266427718041,0.759,0.1054,0.3436,0.9194444444444443
KSM,10,0.48816008893829904,2.69,0.0298,0.1743,-0.6909
LDO,2,0.3296852081687916,0.3085,0.2742,0.3376,-1.2745000000000002
LINK,8,0.0018774703557312253,2.1665,0.04005,0.0601,-0.581625
LPT,1,0.23056838722635067,4.398,0.0182,0.0182,2.648
LSK,15,0.7719977233921457,0.07,1.1362,24.2963,-4.311733333333334
LTC,4,0.0018448968834420504,2.6255,0.03065,0.0332,1.7229999999999999
MANA,5,0.1727970102281668,2.445,0.0327,0.0369,-0.29819999999999997
NEAR,3,0.04383181277270924,3.09,0.0259,0.0263,0.19666666666666663
NEO,7,0.16694546671127466,3.094,0.0259,0.1245,1.047
NMR,1,0.48639387220318486,0.038,2.0907,2.0907,0.575
OCEAN,17,0.45913487086831756,0.08,1.0053,8.6629,-1.3191176470588237
OGN,32,0.6804312449145646,0.059,1.3643,63.7176,-6.31809375
ONE,0,0.03871900197778792,,,,
ONT,5,0.23953894516241706,3.127,0.0256,0.0306,0.44200000000000017
OP,3,0.11652287867205417,4.246,0.0188,0.0495,-1.0286666666666664
QTUM,6,0.348361483076509,3.567,0.0225,0.7523,0.6896666666666667
RAD,19,0.7332510380428684,0.025,3.2378,80.0881,-9.322526315789474
REQ,14,0.7177161702566217,0.034999999999999996,2.4085,12.9526,-3.4307142857142856
RLC,12,0.686307227030973,0.044,1.8382999999999998,7.3091,-2.11275
ROSE,4,0.2849432756911554,2.2975000000000003,0.034850000000000006,0.0377,0.79775
SKL,10,0.6322532027128862,1.424,0.07569999999999999,1.0391,-0.44909999999999994
SLP,6,0.5436668011294877,1.81,0.0442,0.0954,0.1653333333333333
