# Binance.US spot USDT pairs with >=4y of 4h history
# probed 2026-08-27
BCHUSDT	2019-09-23	6.93
BNBUSDT	2019-09-23	6.93
BTCUSDT	2019-09-23	6.93
ETHUSDT	2019-09-23	6.93
LTCUSDT	2019-09-23	6.93
XRPUSDT	2019-09-23	6.93
ADAUSDT	2019-09-25	6.92
BATUSDT	2019-09-25	6.92
ETCUSDT	2019-09-25	6.92
XLMUSDT	2019-09-25	6.92
ZRXUSDT	2019-09-25	6.92
DOGEUSDT	2019-10-25	6.84
ATOMUSDT	2019-11-01	6.82
NEOUSDT	2019-11-01	6.82
VETUSDT	2019-11-08	6.80
QTUMUSDT	2019-11-15	6.78
ONTUSDT	2020-02-14	6.53
KNCUSDT	2020-07-17	6.11
VTHOUSDT	2020-07-24	6.09
COMPUSDT	2020-08-11	6.04
ONEUSDT	2020-08-27	6.00
BANDUSDT	2020-08-28	6.00
STORJUSDT	2020-09-02	5.98
UNIUSDT	2020-09-17	5.94
SOLUSDT	2020-09-18	5.94
EGLDUSDT	2020-09-24	5.92
PAXGUSDT	2020-09-25	5.92
ZENUSDT	2020-12-17	5.69
FILUSDT	2021-06-18	5.19
AAVEUSDT	2021-07-15	5.12
SHIBUSDT	2021-09-15	4.95
CRVUSDT	2021-09-23	4.93
AXSUSDT	2021-11-11	4.79
AVAXUSDT	2021-11-18	4.77
CTSIUSDT	2021-11-25	4.75
DOTUSDT	2021-12-02	4.73
YFIUSDT	2021-12-02	4.73
1INCHUSDT	2021-12-10	4.71
USDCUSDT	2021-12-24	4.67
MANAUSDT	2022-01-06	4.64
ALGOUSDT	2022-01-07	4.64
ZECUSDT	2022-01-13	4.62
LINKUSDT	2022-01-14	4.62
ENJUSDT	2022-01-20	4.60
GRTUSDT	2022-01-20	4.60
NEARUSDT	2022-01-20	4.60
SUSHIUSDT	2022-01-21	4.60
LPTUSDT	2022-02-10	4.54
NMRUSDT	2022-02-16	4.53
SLPUSDT	2022-02-17	4.52
CHZUSDT	2022-03-01	4.49
OGNUSDT	2022-03-03	4.48
GALAUSDT	2022-03-04	4.48
TLMUSDT	2022-03-08	4.47
SNXUSDT	2022-03-09	4.47
AUDIOUSDT	2022-03-09	4.47
ENSUSDT	2022-03-10	4.47
APEUSDT	2022-03-18	4.44
REQUSDT	2022-03-24	4.43
FLUXUSDT	2022-03-30	4.41
TRXUSDT	2022-04-01	4.41
COTIUSDT	2022-04-06	4.39
VOXELUSDT	2022-04-08	4.39
RLCUSDT	2022-04-12	4.38
BICOUSDT	2022-04-14	4.37
API3USDT	2022-04-21	4.35
BNTUSDT	2022-04-26	4.34
IMXUSDT	2022-04-28	4.33
FLOWUSDT	2022-05-05	4.31
TFUELUSDT	2022-05-10	4.30
THETAUSDT	2022-05-10	4.30
OCEANUSDT	2022-05-12	4.29
LAZIOUSDT	2022-05-16	4.28
SANTOSUSDT	2022-05-17	4.28
ALPINEUSDT	2022-05-18	4.28
PORTOUSDT	2022-05-19	4.27
CELRUSDT	2022-05-27	4.25
SKLUSDT	2022-06-01	4.24
WAXPUSDT	2022-06-08	4.22
FETUSDT	2022-06-10	4.21
ICPUSDT	2022-06-21	4.18
TUSDT	2022-06-22	4.18
OPUSDT	2022-06-23	4.18
CELOUSDT	2022-06-29	4.16
ROSEUSDT	2022-07-06	4.14
KSMUSDT	2022-07-20	4.10
ACHUSDT	2022-07-21	4.10
SYSUSDT	2022-08-02	4.07
RADUSDT	2022-08-03	4.07
ILVUSDT	2022-08-10	4.05
LDOUSDT	2022-08-11	4.04
RAREUSDT	2022-08-16	4.03
LSKUSDT	2022-08-24	4.01
