ticker,row,id,n_events,n,win_pct,net_all,ex_best,folds_pos,folds_counted,placebo_mean,placebo_p95,placebo_p99,pctile
BTC,donchian10+none,42,94,104,35.57692307692308,0.022721153846153877,-0.24439436619718316,1,4,0.0956719331310401,0.38407196078431344,0.47374481721249007,31.5
BTC,obv_break20+none,154,124,136,41.911764705882355,0.2132352941176471,0.15358823529411772,4,4,0.11843172466945932,0.3166508747547413,0.3946136196043165,77.5
BTC,roc10_zero+none,102,64,69,44.927536231884055,0.3037246376811594,0.11215384615384617,3,4,0.09214710396755792,0.44704305555555557,0.5276061293199552,86.0
BTC,nr7+none,118,137,143,34.96503496503497,0.00020279720279717736,-0.03085321100917431,3,4,0.11566766229721899,0.32004959415584416,0.3787988437348814,14.499999999999998
BTC,rsi7_cross50+none,94,68,75,54.666666666666664,0.5977600000000001,0.45778846153846153,4,4,0.09975429524991761,0.3771013513513507,0.5396323571428563,99.0
BTC,INC_STRONG_BUY,-1,16,10,60.0,1.1463,,0,0,0.21724847998366012,1.018171875,1.247237499999998,98.0
ETH,donchian10+none,42,85,92,43.47826086956522,0.27214130434782613,0.10808620689655175,2,4,0.1378767720480949,0.38773444950911623,0.5132427221279003,80.5
ETH,obv_break20+none,154,102,108,37.03703703703704,0.08460185185185184,-0.04903370786516851,2,4,0.12294369404783305,0.3624204954954953,0.49138686440677914,37.5
ETH,roc10_zero+none,102,62,65,41.53846153846154,0.21307692307692308,0.16672000000000003,4,4,0.11390337466816788,0.4013974114774107,0.5830990109890111,71.5
ETH,nr7+none,118,133,141,34.04255319148936,-0.012510638297872285,-0.10606999999999997,2,4,0.131493195813145,0.3168530612244895,0.40776523773136353,9.5
ETH,rsi7_cross50+none,94,70,77,33.76623376623377,-0.021480519480519437,-0.19322807017543858,3,4,0.1219909137585158,0.4063846666666666,0.4903012631578947,20.0
ETH,INC_STRONG_BUY,-1,9,5,60.0,1.1598000000000002,,0,0,0.06632956944444446,1.0051555555555556,1.4134224999999991,97.0
SOL,donchian10+none,42,99,104,28.846153846153843,-0.15730769230769226,-0.21973134328358204,0,4,0.004506447954228091,0.21706343555093538,0.2831027022653716,10.0
SOL,obv_break20+none,154,125,133,36.09022556390977,0.06042105263157897,-0.06959090909090904,2,4,0.016161505779658702,0.1942438405797101,0.2942799616306953,66.5
SOL,roc10_zero+none,102,59,59,33.89830508474576,-0.00694915254237285,-0.20504545454545456,2,4,0.011813818935047009,0.30396501431173556,0.45891100102406523,43.0
SOL,nr7+none,118,139,147,31.292517006802722,-0.08546258503401358,-0.156578947368421,1,4,0.012506819673357117,0.19989963810075276,0.30030204568023805,17.5
SOL,rsi7_cross50+none,94,66,71,52.112676056338024,0.5387323943661971,0.5044716981132076,4,4,0.015569313976253885,0.2735734221748401,0.3937310144927535,99.5
SOL,INC_STRONG_BUY,-1,2,0,,,,0,0,0.05190500000000002,2.640075,2.65151,
