id,rule,base,context,ticker,n_events,n,win_pct,stop_pct,net_all,net_counted,ex_best,folds_pos,folds_counted,total_R,maxDD_R,worst_streak
42,donchian10+none,donchian10,none,BTC,103,112,38.392857142857146,58.92857142857143,0.15146428571428575,0.1514642857142857,-0.07314772727272728,2,4,16.96400000000001,14.729,6
43,donchian10+above_sma200,donchian10,above_sma200,BTC,33,34,35.294117647058826,55.88235294117647,0.12705882352941178,,,1,2,4.32,6.415999999999999,7
44,donchian10+btc_above_sma200,donchian10,btc_above_sma200,BTC,33,34,35.294117647058826,55.88235294117647,0.12705882352941178,,,1,2,4.32,6.415999999999999,7
45,donchian10+lowvol,donchian10,lowvol,BTC,31,33,33.33333333333333,66.66666666666666,-0.03436363636363631,,,0,1,-1.1339999999999975,11.517999999999997,9
46,donchian20+none,donchian20,none,BTC,75,81,38.2716049382716,59.25925925925925,0.14522222222222228,0.14522222222222228,-0.15532258064516122,2,4,11.763000000000005,16.110999999999997,7
47,donchian20+above_sma200,donchian20,above_sma200,BTC,26,27,37.03703703703704,55.55555555555556,0.16107407407407415,,,1,2,4.349000000000001,6.3279999999999985,7
48,donchian20+btc_above_sma200,donchian20,btc_above_sma200,BTC,26,27,37.03703703703704,55.55555555555556,0.16107407407407415,,,1,2,4.349000000000001,6.3279999999999985,7
49,donchian20+lowvol,donchian20,lowvol,BTC,24,25,32.0,68.0,-0.07591999999999997,,,0,1,-1.8979999999999968,10.477999999999998,8
50,donchian55+none,donchian55,none,BTC,47,51,35.294117647058826,62.745098039215684,0.05519607843137259,0.09975510204081632,-0.21181081081081077,1,3,2.815000000000002,15.643999999999998,6
51,donchian55+above_sma200,donchian55,above_sma200,BTC,22,23,39.130434782608695,56.52173913043478,0.19239130434782611,,,1,2,4.425000000000002,5.301999999999999,6
52,donchian55+btc_above_sma200,donchian55,btc_above_sma200,BTC,22,23,39.130434782608695,56.52173913043478,0.19239130434782611,,,1,2,4.425000000000002,5.301999999999999,6
53,donchian55+lowvol,donchian55,lowvol,BTC,12,13,15.384615384615385,84.61538461538461,-0.5641538461538461,,,0,1,-7.333999999999998,8.282999999999998,7
54,emacross9_21+none,emacross9_21,none,BTC,20,21,38.095238095238095,57.14285714285714,0.1565238095238095,,,0,0,3.2869999999999995,7.203,7
